time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-16 00:00:00+00:00,56,30,29,10
2026-05-17 00:00:00+00:00,4,3,9,7
2026-05-18 00:00:00+00:00,116,20,32,12
2026-05-19 00:00:00+00:00,22,15,17,9
2026-05-20 00:00:00+00:00,67,25,8,8
2026-05-21 00:00:00+00:00,30,14,5,5
2026-05-22 00:00:00+00:00,4,3,31,11
2026-05-23 00:00:00+00:00,5,4,14,9
2026-05-24 00:00:00+00:00,29,10,37,14
2026-05-25 00:00:00+00:00,19,6,17,12
2026-05-26 00:00:00+00:00,59,23,23,13
2026-05-27 00:00:00+00:00,127,48,24,13
2026-05-28 00:00:00+00:00,65,22,65,6
2026-05-29 00:00:00+00:00,9,9,14,10
2026-05-30 00:00:00+00:00,9,7,39,12
2026-05-31 00:00:00+00:00,168,53,177,15
2026-06-01 00:00:00+00:00,37,22,13,11
2026-06-02 00:00:00+00:00,25,13,8,3
2026-06-03 00:00:00+00:00,39,23,68,9
2026-06-04 00:00:00+00:00,27,16,14,11
2026-06-05 00:00:00+00:00,22,16,19,17
2026-06-06 00:00:00+00:00,25,15,32,14
2026-06-07 00:00:00+00:00,25,11,20,8
2026-06-08 00:00:00+00:00,37,21,30,12
2026-06-09 00:00:00+00:00,43,22,31,17
2026-06-10 00:00:00+00:00,18,12,33,15
